id_sender,id_receiver,content,time
7f30edf8-22ee-4820-a680-c684623e2d05,bf1a21be-e406-41fa-8726-26c13144e571," Are you a fan of Google or Microsoft?",Mon Jan 24 15:32:49 EET 2022
7f30edf8-22ee-4820-a680-c684623e2d05,cc3cba56-ce26-4764-9394-fdf7b91711f0," Both are excellent technology they are helpful in many ways. For the security purpose both are super.",Tue Jan 26 06:35:13 EET 2021
7f30edf8-22ee-4820-a680-c684623e2d05,49d4312a-afff-4017-8960-ec0eaa5dc5e7," I'm not  a huge fan of Google, but I use it a lot because I have to. I think they are a monopoly in some sense. ",Tue Oct 12 06:26:14 EEST 2021
95f5f627-8978-45b6-8273-7da6f923dcf7,c3dbca16-9f78-4390-a8ea-9b16426140c9," Google provides online related services and products, which includes online ads, search engine and cloud computing.",Mon Jan 31 23:22:43 EET 2022
95f5f627-8978-45b6-8273-7da6f923dcf7,20122efb-2102-490a-aa35-5395c6fc0566," Yeah, their services are good. I'm just not a fan of intrusive they can be on our personal lives. ",Wed Jan 26 23:32:44 EET 2022
95f5f627-8978-45b6-8273-7da6f923dcf7,3f02e38b-84bb-4f66-ab84-45c9a48e4871," Google is leading the alphabet subsidiary and will continue to be the Umbrella company for Alphabet internet interest.",Tue Aug 10 15:46:59 EEST 2021
95f5f627-8978-45b6-8273-7da6f923dcf7,7c4d2903-a123-4cae-a889-fe23ed748c8c," Did you know Google had hundreds of live goats to cut the grass in the past? ",Sun Jan 23 07:56:44 EET 2022
95f5f627-8978-45b6-8273-7da6f923dcf7,0f260996-59a4-41e4-bbb1-a1f985ded7c5," It is very interesting. Google provide ""Chrome OS"" which is a light weight OS. Google provided a lot of hardware mainly in 2010 to 2015. ",Mon Jul 26 20:20:46 EEST 2021
95f5f627-8978-45b6-8273-7da6f923dcf7,8af6dba4-68e5-4b6c-8cec-9c66a794af63," I like Google Chrome. Do you use it as well for your browser? ",Sun Dec 19 18:31:59 EET 2021
1f8eb0ac-dc1e-4a01-b79b-ca7352f67c3f,0b1e612c-2a34-433e-9027-1baed2955209," Yes.Google is the biggest search engine and Google service figure out top 100 website, including Youtube and Blogger.",Mon Apr 26 20:57:45 EEST 2021
1f8eb0ac-dc1e-4a01-b79b-ca7352f67c3f,d6efb221-72ad-4f93-a4f8-bccea155891b," By the way, do you like Fish? ",Sun Mar 21 12:31:31 EET 2021
1f8eb0ac-dc1e-4a01-b79b-ca7352f67c3f,232a80a4-b674-4912-a267-8ca23febc8c4," Yes. They form a sister group of tourniquets- they make the sea water clean and remove the dust from it. Fish is the biggest part in the eco-system.",Tue Jan 11 20:47:16 EET 2022
22b4f228-1c0f-48a1-b621-a2a224f3dbb4,133c3e1b-eb3c-4e1e-9b49-b6c1c24f8127," Did you know that a seahorse is the only fish to have a neck? ",Fri Mar 19 19:08:00 EET 2021
22b4f228-1c0f-48a1-b621-a2a224f3dbb4,af38aefc-a404-4e30-b091-96d98f827b04," Freshwater fish only drink water through the skin via Osmosis, Saltwater fish drink water through the mouth. Dolphins are friendly to human beings.",Sun Jan 30 03:48:33 EET 2022
22b4f228-1c0f-48a1-b621-a2a224f3dbb4,309e3eac-3a9a-4df2-bc8b-837f52f62e33," Interesting, they also have gills. Did you know that jellyfish are immortal? ",Sat Aug 14 16:55:41 EEST 2021
22b4f228-1c0f-48a1-b621-a2a224f3dbb4,6aa37047-e825-41e7-8c8d-90e5199e786d," Yes. Fish is the important resources of human world wide for the commercial and subsistence fish hunts the fish in the wild fisheries.",Sun Jan 24 04:40:07 EET 2021
22b4f228-1c0f-48a1-b621-a2a224f3dbb4,350b5cf9-f925-4ac9-8e66-88800d9b2a74," What about cats, do you like cats? I'm a dog fan myself. ",Sun Oct 25 21:58:16 EET 2020
883c50e3-1855-4e3a-b702-a0e96825c283,65b1e16d-e10b-4016-89ce-1af557de3c21," The cat is referred as domestic cat and wild cat. They make our world very clean from rats! ",Mon Dec 21 16:38:41 EET 2020
883c50e3-1855-4e3a-b702-a0e96825c283,eb824cf2-4df4-400b-9d98-586d5247872f," Yeah, cats can be cool, but they sure do spend a lot of their time sleeping. ",Sat Oct 31 13:20:37 EET 2020
3f02e38b-84bb-4f66-ab84-45c9a48e4871,7e5a66eb-de5a-48f7-b9b4-6fa42ced0159," Cats hear the sounds too faint or too high frequency human ears can hear. ",Sun May 16 15:26:52 EEST 2021
3f02e38b-84bb-4f66-ab84-45c9a48e4871,a2ce681f-4842-4093-80d0-32fd036f26cd," I heard that too. Well, it was nice chatting with you. Have a good day. ",Wed Nov 24 21:59:59 EET 2021
