id_user,content,time,id_review
1aa5873a-c0e0-4408-906c-ae4073dce512,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Tue Feb 01 14:48:42 EET 2022,6d90ed6e-f099-452c-b4d1-8a2e33b43ca8
76822ea3-6ac2-47f9-91a0-17a9ed012fa1,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",Thu Jan 20 04:47:03 EET 2022,6f97f7d3-31b1-45af-82f4-a6a22701f6c8
b1f0cb0d-096e-49e7-8f2a-53d1f3a6c5cc,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",Mon Jun 28 09:54:17 EEST 2021,fc2d835a-fd4c-4f6f-b26e-ce11b4c348ee
b1f0cb0d-096e-49e7-8f2a-53d1f3a6c5cc,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Mon Dec 16 17:37:12 EET 2019,a5370e95-68f5-4ff0-a397-a0d0aff2650c
ac24b68c-a67b-416c-8cd9-8cc5cae5010f,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",Fri Jun 11 08:55:33 EEST 2021,3b109a70-0145-4d2f-b210-9882fbffa025
ac24b68c-a67b-416c-8cd9-8cc5cae5010f,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Mon Oct 11 03:36:48 EEST 2021,63195491-b642-4d83-978a-e2f81e3d6776
0b9804e1-3396-47d4-8ce5-3df74ce82c92,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Sun Jan 16 12:01:38 EET 2022,c6a9d6f5-af1a-479f-843e-746d3e8abced
0b9804e1-3396-47d4-8ce5-3df74ce82c92,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Mon Nov 23 12:02:47 EET 2020,37e31099-23c4-41dc-a8d8-f219f1bb7cef
4cef1c93-5f59-4e1f-82e8-78cc1b7507ba,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",Mon Feb 15 12:33:46 EET 2021,81d36f83-b114-4dd1-a030-8b459e9b9d6d
a406faf9-e611-4a2b-bf20-ef9250aee1bc,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",Sun Jan 23 21:41:38 EET 2022,f0fbb28d-44fd-4a52-804d-84deefa8d989
a406faf9-e611-4a2b-bf20-ef9250aee1bc,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",Wed Nov 17 09:08:35 EET 2021,5e127d08-a377-4a8f-8e74-8878db80cc38
